,location,price,bedrooms,bathrooms,garage,area
155,Heroes Nacionales,14700,3,2,2,90
156,La Periquera,11300,2,1,1,76
157,Jardín Real,24000,3,3,3,201
158,Jal.,14000,3,2,2,99
159,Lomas Altas,22000,3,4,2,160
160,Jardines del Sol,40000,4,4,4,420
161,Jardines de Guadalupe,30000,5,4,4,300
162,Camichines Vallarta,55000,3,4,2,229
163,Valle Real,55000,3,3,2,454
164,Lomas de Zapopan,11500,2,2,2,82
165,Jardines del Sol,70000,4,4,4,420
166,Granja,6900,2,1,1,60
167,Nuevo México,17500,3,3,2,180
168,Los Robles,25000,3,4,4,193
169,Camino Real,7900,2,1,1,69
170,Valle Real,59500,3,3,4,300
171,Campo Real,8200,2,1,1,66
172,Zapopan,23000,2,2,2,120
173,Puerta de Hierro,29800,2,2,2,110
174,Campo Real,8200,2,1,1,67
175,Campo Real,7500,3,3,2,96
176,Jocotán Zapopan Jalisco,21000,4,3,2,120
177,Parque de la Castellana,22500,3,2,2,145
178,Puerta de Hierro,65000,3,4,4,450
179,Arboledas,40000,6,4,4,282
180,Zapopan,15500,3,2,2,111
181,Solares Residencial,24000,4,4,3,190
182,Valle Real,59500,3,3,4,300
183,Cd Bugambilias,33000,4,4,4,465
184,Jardines de Guadalupe,135000,3,2,1,90
185,Zapopan,26000,4,4,2,159
186,Zapopan,150000,4,4,4,385
187,Loma Real,32000,3,3,2,181
188,Villa Palmas,80000,3,3,4,500
189,Las Cañadas,39500,4,4,3,860
190,Altavista Residencial,13900,3,2,2,90
191,Las Cañadas,58000,3,2,4,1900
192,Las Cañadas,35000,3,4,3,456
193,Zapopan,29000,2,2,2,127
194,La Calma,30000,6,3,4,253
195,Puerta del Bosque,7500,2,1,1,70
196,Zapopan,150000,5,4,4,384
197,Paseos del Sol,25000,4,3,3,225
198,Puerta Plata,38000,2,2,2,148
199,Granja,15000,2,2,2,113
200,Jardines de los Pinos,14000,4,3,2,150
201,Santa Ana Tepetitlán,10000,2,2,1,55
202,Santa Ana Tepetitlán,8000,2,2,1,55
203,Zapopan,33000,3,3,2,130
204,Lomas Altas,30200,2,2,2,148
205,Zapopan,3150000,2,2,2,86
206,Lomas Altas,28000,3,2,2,200
207,Zapopan,16000,3,2,2,110
208,Los Pinos,120000,6,4,4,1145
209,Zapopan,45000,5,4,4,410
210,Lomas Altas,30000,3,4,2,160
211,Puerta de Hierro,41755,2,2,2,194
212,Las Cañadas,16000,2,2,1,170
213,Cd del Sol,20000,4,2,2,150
214,Las Cañadas,19393750,4,4,4,503
215,Zoto Grande Residencial,33413470,5,4,4,1061
216,Cd del Sol,12529920,4,4,3,260
217,Campo Lago,15632680,5,4,4,449
218,Paseos del Sol,6500,2,1,1,65
219,La Cima,22000,3,3,2,147
220,Jardines del Valle,15000,2,3,2,105
221,Atlas Chapalita,6700,2,1,1,55
222,Loma Real,120000,3,4,4,1610
223,Jal.,12000,4,3,2,90
224,La Mojonera,32500,4,4,4,350
225,Coto Naciones Unidas,53000,4,4,3,338
226,Vallarta Cuauhtémoc,20500,3,2,2,199
227,Puerta de Hierro,45000,3,4,4,704
228,Jardines del Valle,130000,5,4,4,1024
229,Arcos de Zapopan,5000,2,1,1,50
230,Chapalita Sur,40000,5,4,4,906
231,Ecológica Seattle,25000,2,2,2,391
232,Zapopan,85000,5,4,4,315
233,Estrada,5000,2,1,3,108
234,Kodak,17000,4,2,1,16
235,La Alameda,14600,0,2,2,113
236,Altus Quintas,5500,2,2,2,90
237,Rinconada de la Calma,12500,2,2,2,81
238,Zapopan,15500,1,1,2,65
239,Hab Seattle,8000,3,1,1,130
240,Ciudad Bugambilias,21000,3,3,2,230
241,Jardines del Sol,38500,3,4,4,370
242,Jardines del Sol,38500,3,3,4,370
243,Zapopan,40000,3,3,2,345
244,Granja,18800,2,2,2,118
245,Lomas Altas,20000,2,2,2,97
246,Zapopan,9500,6,4,4,234
247,Zapopan,11600,3,2,2,115
248,Solares Residencial,29000,3,4,2,159
249,Valle Real,59500,3,3,4,300
250,Jardín Real,21000,3,3,2,144
251,Zona Real,23000,3,4,2,146
252,Auditorio,8500,3,1,2,133
253,Paseos del Sol,14400,3,2,2,200
254,Victoria,31500,4,4,4,125
255,San Juan de Ocotán,18000,3,4,2,193
256,Zapopan,10000,3,3,2,83
257,Lomas del Batán,9500,3,2,2,125
258,Colli Urbano,9500,3,1,2,77
259,Jardines de Guadalupe,29500,4,2,4,500
260,Solares Residencial,36000,3,3,2,160
261,Zapopan,17000,3,2,2,105
262,Hogares de Nuevo México,10950,2,2,1,84
263,Zapopan,45000,3,4,3,281
264,Loma Bonita,13500,3,2,2,160
265,Zapopan,27000,3,3,2,163
266,Virreyes,20000,3,3,2,255
267,Zapopan,23000,2,2,2,106
268,La Calma,20500,3,1,2,155
269,Zapopan,23000,2,2,2,105
270,La Calma,23000,3,2,2,155
271,Jardín Real,20000,3,3,2,154
272,Jardín Real,21000,3,3,2,212
273,Jardín Real,15500,3,2,2,248
274,Hacienda del Tepeyac,18000,3,3,2,125
275,El Fortín,12500,3,3,2,91
276,Jardines Universidad,19500,2,2,2,81
277,Hacienda del Tepeyac,17000,3,3,2,169
278,Rinconada del Bosque,65000,4,4,2,600
