,price,bedrooms,bathrooms,garage,area
265,27000,3,3,2,163
266,20000,3,3,2,255
267,23000,2,2,2,106
268,20500,3,1,2,155
269,23000,2,2,2,105
270,23000,3,2,2,155
271,20000,3,3,2,154
272,21000,3,3,2,212
273,15500,3,2,2,248
274,18000,3,3,2,125
275,12500,3,3,2,91
276,19500,2,2,2,81
277,17000,3,3,2,169
278,65000,4,4,2,600
279,40000,5,4,2,170
280,21000,2,2,2,110
281,31000,2,2,2,175
282,19500,2,2,2,99
283,21000,3,3,2,218
284,22000,4,3,2,292
285,12900,4,2,2,200
286,15000,3,2,2,126
287,6500,2,1,1,55
288,21000,4,3,4,250
289,6500,2,1,1,50
290,10900,3,2,1,103
291,13500,3,2,2,102
292,14200,3,2,2,102
293,13800,3,3,2,121
294,25000,3,3,2,144
295,29000,3,4,2,159
296,12500,3,2,1,62
297,26500,2,2,2,91
298,20000,2,2,2,91
299,19500,2,2,2,189
300,7500,2,2,1,80
301,46000,3,4,2,300
302,32000,3,4,2,300
303,15500,3,4,2,240
304,14200,2,2,2,97
305,40900,2,2,2,168
306,22500,3,2,2,153
307,22500,3,2,2,153
308,19500,2,3,2,140
309,16000,2,2,2,70
310,65000,4,4,3,400
311,28000,3,3,2,154
312,12000,2,2,2,104
313,80000,3,4,4,500
314,6200,2,1,1,65
315,9800,3,2,2,95
316,21000,3,3,2,119
317,7500,3,1,2,133
318,25500,4,4,2,117
319,23000,2,2,2,145
320,14500,2,2,1,133
321,21000,3,2,2,135
322,12000,2,1,2,108
323,6800,2,1,1,80
324,11300,3,2,2,115
325,14500,2,2,1,133
326,28000,2,2,2,145
327,25000,3,3,2,320
328,25000,3,3,2,320
329,45000,3,4,3,360
330,27000,2,2,2,117
331,12000,4,3,2,90
332,30000,3,3,2,200
333,25000,3,4,2,308
334,16500,4,3,2,103
335,29000,2,2,2,120
336,14000,3,3,2,115
337,7000,3,3,2,90
338,4300,2,1,1,42
339,34000,4,4,3,280
340,20000,3,4,3,300
342,14000,3,2,2,127
343,16000,2,2,0,84
344,12500,3,2,2,106
345,11000,3,2,2,133
346,15000,1,1,2,88
347,10000,2,2,2,90
348,9250,2,1,1,83
349,15000,3,2,2,122
350,27000,2,2,2,72
351,28000,2,3,2,147
352,19000,4,4,0,156
353,26000,2,2,1,98
354,13000,2,1,1,90
355,10900,3,1,1,83
356,15000,3,3,2,100
357,10500,3,2,2,90
358,24000,2,2,3,150
359,14500,3,2,2,119
360,34200,2,2,2,115
361,11000,3,2,2,115
362,12000,1,1,1,70
363,57000,4,4,4,420
364,9000,2,2,2,80
365,23000,2,2,2,125
366,16500,3,2,2,128
367,9000,3,4,2,90
368,8500,3,2,1,96
369,21900,3,2,2,180
370,40000,3,4,2,242
371,18800,3,3,2,175
372,28000,3,3,2,300
373,10000,2,2,2,155
374,29600,2,2,2,148
