,location,price,bedrooms,bathrooms,garage,area
89,Puerta Plata,"
                    $68,000
                    
                ",3,2,2,157 m²
90,Zapopan,"
                    $40,000
                    
                ",1,1,2,102 m²
91,Patria Universidad,"
                    $80,000
                    
                ",5,4+,4+,820 m²
92,Patria,"
                    $38,000
                    
                ",4,4+,3,410 m²
93,Puerta de Hierro,"
                    $85,000
                    
                ",5,4+,4+,850 m²
94,Puerta de Hierro,"
                        $54,500
                        
                    ",3,3,3,183 m²
95,Puerta de Hierro,"
                        $38,000
                        
                    ",2,2,2,140 m²
96,Azaleas,"
                    $130,000
                    
                ",3,3,4+,1700 m²
97,Zapopan,"
                    $8,500
                    
                ",3,2,2,85 m²
98,Lomas del Valle,"
                    $120,000
                    
                ",4,4+,4+,996 m²
99,Zapopan,"
                    $150,000
                    
                ",4,4+,4+,384 m²
100,Rinconada del Bosque,"
                    $87,000
                    
                ",5,4+,4+,500 m²
101,Rinconada del Bosque,"
                    $60,000
                    
                ",4,4+,3,310 m²
102,Valle Real,"
                    $85,000
                    
                ",4,4+,2,469 m²
103,La Estancia,"
                    $15,000
                    
                ",2,1,1,80 m²
104,Jardín Real,"
                    $25,000
                    
                ",3,4+,2,180 m²
105,Camino Real,"
                    $26,000
                    
                ",2,2,2,100 m²
106,Camino Real,"
                    $26,000
                    
                ",2,3,2,100 m²
107,Jardines Universidad,"
                    $26,000
                    
                ",2,2,2,120 m²
108,Camino Real,"
                    $26,000
                    
                ",2,2,2,100 m²
109,Puerta de Hierro,"
                    $32,000
                    
                ",2,2,2,80 m²
110,Puerta de Hierro,"
                    $29,800
                    
                ",2,2,2,120 m²
111,Zapopan,"
                    $23,000
                    
                ",2,2,2,125 m²
112,Valle Real,"
                    $85,000
                    
                ",4,4+,4+,469 m²
113,Arboledas,"
                    $12,500
                    
                ",2,1,1,100 m²
114,La Calma,"
                    $17,000
                    
                ",3,4+,2,280 m²
115,Bugambilias,"
                    $40,000
                    
                ",4,4+,4+,455 m²
116,Jardines del Valle,"
                    $17,500
                    
                ",3,2,2,90 m²
117,La Mojonera,"
                    $43,000
                    
                ",4,4+,3,349 m²
118,Pinar de la Venta,"
                    $39,500
                    
                ",3,3,4+,3000 m²
119,San Wenceslao,"
                    $23,000
                    
                ",2,2,2,85 m²
120,Zapopan,"
                    $32,000
                    
                ",3,2,2,167 m²
121,Las Águilas,"
                    $11,500
                    
                ",3,1,1,108 m²
